"bank, crop, ct, dollar, export, offer, oil, price, share, tonn","1, 1, 1, 0, 1, 1, 1, 1, 1, 1","bank, crop, ct, export, offer, oil, price, share, tonn"
"bank, bpd, compani, crop, ct, dollar, export, grain, loss, month, net, offer, oil, opec, price, rate, share, shr, stg, tonn","1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1","bank, compani, crop, ct, export, month, net, offer, oil, price, rate, share, stg, tonn"
"analyst, area, bank, barrel, billion, bpd, central, compani, corn, crop, ct, currenc, dealer, dlr, dollar, exchang, export, fed, grain, gulf, harvest, loan, loss, market, mln, month, nation, net, offer, oil, opec, oper, price, profit, quarter, rate, rev, share, ship, shr, soviet, soybean, stg, stock, tender, today, tonn, virginia, week, winter","0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0","bank, compani, ct, dlr, exchang, export, grain, market, mln, month, offer, oil, oper, price, rate, share, shr, today, week"
"acquir, ago, agre, agricultur, alwattari, analyst, area, bank, barrel, billion, bpd, budget, central, chang, china, common, compani, corn, corp, countri, crop, ct, currenc, dealer, depart, dlr, dollar, estim, exchang, export, fed, feder, flood, gain, grain, gulf, harcourt, harvest, herrington, includ, increas, industri, interest, iranian, januari, japan, loan, loss, maiz, mark, market, mln, mm, month, nation, net, offer, offici, oil, opec, oper, pari, polici, price, product, profit, program, project, quarter, rate, report, rev, rise, rose, sale, save, season, sell, share, ship, shr, sourc, soviet, soybean, stabil, state, stg, stock, tender, today, tonn, usda, virginia, weather, week, wheat, will, winter, year, yen","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0","compani, corp, ct, dlr, exchang, includ, industri, market, mln, month, offer, oil, oper, price, rate, report, sale, sell, share, state, stg, today, week, wheat, will, year"
"acquir, acquisit, ago, agre, agricultur, alwattari, analyst, announc, april, area, asset, attack, averag, bank, barrel, bfg, billion, bond, bought, bpd, budget, busi, care, carteret, central, chang, china, committe, common, compani, compar, complet, condit, congression, consid, continu, cooper, corn, corp, countri, crop, crude, ct, currenc, current, cut, damag, day, dealer, declin, depart, develop, discount, dlr, dollar, econom, ecu, energi, england, estim, exchang, export, extraordinari, facil, fall, farmer, februari, fed, feder, firm, fiscal, flood, food, forecast, franc, french, fund, futur, gain, gener, good, govern, grain, gulf, harcourt, harvest, herrington, hous, hutton, iea, import, includ, incom, increas, industri, interest, intervent, invest, iran, iranian, januari, japan, japanes, juli, june, level, loan, loss, maiz, major, manag, march, mark, market, meet, minimum, minist, mln, mm, money, month, nation, net, note, offer, offic, offici, oil, opec, open, oper, output, own, pari, pct, period, petroleum, plan, plant, polici, price, prior, product, profit, program, project, provinc, purchas, quarter, rain, rate, rebat, record, region, report, reserv, rev, revis, rise, rose, sale, save, season, secur, sell, set, share, sharehold, ship, shortag, shr, sourc, soviet, soybean, spokesman, stabil, state, statement, stg, stock, strommen, sumita, system, target, tender, today, told, tonn, total, trader, usda, virginia, weather, wednesday, week, wheat, will, winter, year, yen","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0","compani, complet, corp, ct, current, dlr, exchang, export, includ, major, market, minist, mln, month, note, offer, oil, pct, plan, price, purchas, rate, record, report, sale, sell, set, share, shr, state, stg, target, today, told, total, week, will, year"
"accord, account, achiev, acquir, acquisit, ag, agenc, ago, agre, agreement, agricultur, air, alwattari, amb, amount, analyst, announc, approv, april, area, ask, asset, associ, attack, averag, avg, baker, band, bank, barley, barrel, bfg, bid, bill, billion, bond, bought, bpd, budget, busi, buy, capit, care, carteret, cash, central, chang, china, close, comment, commerc, commiss, committe, commod, common, compani, compar, complet, condit, confirm, congression, consid, consider, consumpt, continu, convert, cooper, corn, corp, countri, cpc, crop, crude, ct, currenc, current, cut, daili, damag, day, dealer, decid, declin, depart, despit, develop, director, discount, disput, div, dlr, dollar, earli, earn, econom, ecu, emeri, end, energi, england, equiti, estim, european, exchang, export, extend, extraordinari, facil, fall, farmer, februari, fed, feder, fell, ferruzzi, field, financ, firm, fiscal, flood, food, forecast, foreign, franc, french, friday, fund, futur, ga, gain, gener, good, govern, grain, group, grow, growth, gulf, harcourt, harper, harvest, hazleton, heritag, herrington, home, horner, hous, hutton, iea, import, includ, incom, increas, industri, initi, intend, interest, intern, interven, intervent, invest, iran, iranian, januari, japan, japanes, juli, june, latest, leiner, level, loan, loss, louvr, lower, maiz, major, manag, march, mark, market, measur, meet, militari, mill, minimum, minist, missil, mln, mm, monetari, money, month, montros, nation, net, note, nurs, offer, offic, offici, oil, opec, open, oper, outlook, output, own, pari, pct, period, petroleum, pipelin, plan, plant, polici, price, prior, privat, produc, product, profit, program, project, provinc, provis, purchas, purol, qtr, quarter, quot, raid, rain, rang, rate, rebat, recapit, receiv, record, region, report, request, reserv, respons, return, rev, revis, rise, rose, row, sale, save, season, secretari, secur, sell, set, share, sharehold, ship, shipment, shortag, shr, sourc, southmark, soviet, soybean, spokesman, spot, stabil, stake, state, statement, stg, stock, strommen, sumita, suppli, system, target, tender, three, today, told, tonn, total, trader, usda, virginia, weather, wednesday, week, west, western, wheat, will, winter, winterkil, year, yen","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0","compani, complet, continu, corp, ct, current, dlr, exchang, export, includ, major, market, minist, mln, month, note, offer, oil, pct, plan, price, purchas, rate, record, report, sale, sell, set, share, shr, state, stg, target, three, today, told, total, week, will, year"
"accord, account, achiev, acquir, acquisit, action, addit, adjourn, adjust, advanc, ag, agenc, ago, agre, agreement, agricultur, air, altern, alwattari, amb, amount, analyst, announc, approv, april, area, armi, arriv, ask, asset, assist, associ, attack, aug, august, averag, avg, baker, balladur, baltimor, band, bank, barley, barrel, base, becor, believ, bfg, bid, bill, billion, board, bond, borrow, bought, bpd, buckhorn, budget, bueno, bushel, busi, buy, capit, care, carteret, case, cash, central, chang, china, chubb, class, close, comment, commerc, commerci, commiss, committe, commod, common, compani, compar, complet, condit, confirm, congression, consid, consider, consumpt, continu, contract, control, convert, cooper, corn, corp, countri, cpc, credit, crop, crude, ct, currenc, current, cut, cutback, daili, damag, day, dealer, debentur, decid, declin, defend, defens, depart, despit, develop, director, discount, disput, div, dlr, dollar, dri, drop, earli, earn, eas, econom, economist, ecu, emeri, end, energi, england, equiti, estim, european, exchang, exovir, export, extend, extraordinari, facil, fact, fall, farm, farmer, februari, fed, feder, feed, fell, ferruzzi, field, figur, financ, fire, firm, fiscal, fix, flood, food, forecast, foreign, franc, free, french, friday, fund, futur, ga, gain, gener, germani, gmt, good, govern, grain, group, grow, growth, guilder, gulf, harcourt, harper, harvest, hazleton, heavi, help, heritag, herrington, high, hold, home, horner, hous, hutton, iea, import, includ, incom, increas, industri, initi, inspect, intend, interest, intern, interven, intervent, invest, iran, iranian, iraq, iraqi, januari, japan, japanes, juli, june, keep, latest, leiner, level, loan, loss, louvr, low, lower, maiz, major, malaysia, manag, march, mark, market, measur, mee, meet, militari, mill, minimum, minist, missil, mln, mm, mobil, monday, monetari, money, month, montros, nation, net, news, nonec, normal, northern, note, nurs, oecd, offer, offic, offici, oil, opec, open, oper, outlook, output, overnight, own, paid, paper, pari, payment, pct, peke, period, petroleum, pipelin, plan, plant, pledg, polici, price, prior, privat, problem, produc, product, profit, program, project, provinc, provis, purchas, purol, qtr, quarter, quot, raid, rain, rais, rang, rate, rebat, recapit, receiv, record, red, region, remain, report, request, requir, reserv, respons, return, reuter, rev, revis, rice, rise, risk, rose, row, rumor, sale, save, season, secretari, secur, sell, sept, set, share, sharehold, ship, shipment, shortag, shr, sourc, south, southmark, sovereign, soviet, soybean, spanish, spokesman, spot, spring, stabil, stake, start, state, statement, stg, stock, strommen, subsidiari, sumita, suppli, support, system, target, tender, term, third, three, today, told, tonn, total, trade, trader, treasuri, tuesday, unchang, union, unit, usda, virginia, volum, weather, wednesday, week, west, western, wheat, will, winter, winterkil, year, yemen, yen, yesterday, yield","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0","compani, complet, continu, corp, ct, current, dlr, exchang, export, includ, major, market, minist, mln, month, note, offer, oil, pct, plan, price, purchas, rate, record, report, sale, sell, set, share, shr, state, stg, target, three, today, told, total, week, will, year"
"accord, account, achiev, acquir, acquisit, action, add, addit, adjourn, adjust, administr, advanc, advis, ag, agenc, ago, agre, agreement, agricultur, aim, air, algeria, allow, altern, alwattari, amb, amount, analyst, announc, annual, approv, april, area, armi, arp, arriv, ask, asset, assist, associ, attack, aug, august, averag, avg, baker, balladur, baltimor, band, bank, barley, barrel, base, becor, began, believ, bfg, bid, bill, billion, board, bond, borrow, bought, bpd, buckhorn, budget, bueno, bushel, busi, buy, call, canada, capit, care, carteret, case, cash, caus, central, chang, china, chubb, cindasa, citi, class, close, cold, comment, commerc, commerci, commiss, committe, commod, common, compani, compar, complet, concern, condit, confirm, congression, consid, consider, consist, consumpt, continu, contract, control, convert, cooper, corn, corp, corpor, counti, countri, courier, court, cpc, credit, crop, crude, ct, currenc, current, cut, cutback, daili, damag, data, day, deal, dealer, debentur, decid, declin, defend, defens, definit, deliveri, depart, despit, determin, develop, dinar, director, discount, discuss, disput, div, dlr, dollar, domest, dri, drop, earli, earn, eas, east, econom, economist, ecu, emeri, enabl, encourag, end, energi, england, equiti, establish, estim, european, exchang, exovir, expens, explor, export, express, extend, extraordinari, facil, fact, fall, farm, farmer, februari, fed, feder, feed, fell, ferruzzi, field, figur, final, financ, financi, finish, fire, firm, fiscal, fix, flood, food, forecast, foreign, forward, foster, franc, free, french, friday, fund, futur, ga, gain, gener, germani, glickman, gmt, goal, good, govern, grain, grant, group, grow, growth, guilder, gulf, harcourt, harper, harvest, hazleton, heavi, held, help, heritag, herrington, high, hit, hold, holder, home, horner, hot, hous, hutton, iea, import, includ, incom, increas, independ, indic, industri, inflat, initi, inspect, intend, interest, intern, interven, intervent, invest, iran, iranian, iraq, iraqi, issu, jame, januari, japan, japanes, juli, june, kaputin, keep, kuwaiti, latest, leiner, level, light, limit, load, loan, loss, louvr, low, lower, maintain, maiz, major, malaysia, manag, march, mark, market, martel, maxwel, meant, measur, mee, meet, member, militari, mill, mine, minimum, minist, missil, mln, mm, mobil, monday, monetari, money, month, montros, moscow, nation, net, news, nonec, normal, northern, note, nurs, oecd, offer, offic, offici, oil, opec, open, oper, optimist, order, outlook, output, outstand, overnight, own, paid, paper, papua, pari, payment, pct, peke, period, petroleum, pipelin, plan, plant, pledg, polici, portland, prefix, pressur, price, prior, privat, problem, proce, produc, product, profit, program, project, provinc, provis, publish, purchas, purol, purpos, qtr, quarter, quot, raid, rain, rais, rang, rate, reach, reagan, rebat, recapit, receiv, record, red, reduct, region, remain, report, request, requir, reserv, respons, retail, return, reuter, rev, revis, rice, rise, risk, rose, row, rumor, sacrific, sale, save, season, secretari, secur, seek, sell, sept, set, share, sharehold, shearson, ship, shipment, shortag, shr, sold, sorghum, sourc, south, southern, southmark, sovereign, soviet, soybean, spanish, split, spokesman, spot, spring, stabil, stake, start, state, statement, stg, stock, strommen, stronger, subsidiari, sumita, sunflow, suppli, support, swiss, system, tanker, target, tax, tender, term, termin, third, threaten, three, time, today, told, tonn, top, total, trade, trader, transact, transport, treasuri, tuesday, unchang, union, unit, usda, virginia, volum, weather, wednesday, week, west, western, wheat, will, winter, winterkil, work, year, yearago, yemen, yen, yesterday, yield, yuan","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0","compani, complet, continu, corp, ct, current, dlr, exchang, export, includ, major, market, minist, mln, month, note, offer, oil, pct, plan, price, purchas, rate, record, report, sale, sell, set, share, shr, state, stg, target, three, today, told, total, week, will, year"
"analyst, bank, compani, corn, dlr, dollar, export, loss, mln, month, net, offer, oil, pct, price, rate, share, stock, will, year","0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1","bank, compani, dlr, export, mln, month, net, offer, oil, pct, price, rate, share, will, year"
"analyst, area, bank, billion, budget, central, compani, corn, currenc, dealer, dlr, dollar, estim, exchang, export, gulf, loan, loss, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, price, profit, quarter, rate, reserv, rev, rise, share, ship, soviet, stg, stock, tender, today, tonn, total, virginia, week, will, winter, year","0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1","bank, compani, dlr, exchang, export, market, mln, month, net, offer, offici, oil, oper, pct, price, rate, share, today, week, will, year"
"acquir, ago, agre, agricultur, alwattari, analyst, area, bank, barrel, billion, bpd, budget, central, chang, china, common, compani, corn, corp, countri, crop, ct, currenc, dealer, depart, dlr, dollar, estim, exchang, expect, export, fall, fed, feder, flood, gain, grain, gulf, harcourt, harvest, herrington, includ, increas, industri, interest, iranian, januari, japan, june, loan, loss, maiz, major, market, meet, mln, month, nation, net, offer, offici, oil, oper, pari, pct, polici, price, product, profit, project, quarter, rate, report, reserv, reuter, rev, rise, rose, sale, save, season, sell, share, ship, sourc, soviet, stabil, state, stg, stock, tender, today, told, tonn, total, weather, week, will, year, yen","0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0","agre, bank, compani, corp, ct, dlr, exchang, export, includ, major, market, mln, month, offer, oil, pct, price, report, sale, sell, share, state, stg, today, told, week, will, year"
