"bank, ct, dollar, net, oil, rate, share, shr, tonn, wheat","1, 1, 1, 1, 1, 1, 1, 0, 1, 1","bank, ct, dollar, net, oil, rate, share, tonn, wheat"
"bank, barrel, compani, ct, dollar, export, loss, market, mln, net, nil, oil, price, profit, rate, share, shr, tonn, trade, wheat","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1","bank, barrel, compani, ct, dollar, export, loss, market, mln, net, oil, price, rate, share, tonn, trade, wheat"
"agreement, bank, barrel, billion, bpd, compani, corn, corp, crude, ct, currenc, dealer, dlr, dollar, exchang, export, govern, grain, import, interest, japan, loss, market, mln, net, nil, offer, offici, oil, opec, oper, pct, price, product, profit, rate, reserv, rev, sale, share, shr, stg, stock, today, tonn, trade, week, wheat, will, yen","1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0","agreement, bank, billion, compani, corp, ct, dlr, exchang, export, govern, interest, loss, market, mln, net, offer, offici, oil, oper, pct, price, product, reserv, sale, share, stock, today, tonn, trade, week, will"
"acquisit, agreement, agricultur, american, bank, barrel, bill, billion, bpd, central, compani, corn, corp, countri, crop, crude, ct, currenc, cut, day, dealer, depart, dlr, dollar, energi, estim, exchang, export, foreign, ga, govern, grain, group, gulf, import, includ, increas, industri, interest, japan, japanes, level, loss, mark, market, meet, minist, mln, money, month, nation, net, nil, note, offer, offici, oil, opec, oper, pct, plan, polici, price, produc, product, profit, program, propos, purchas, quarter, rate, report, reserv, reuter, rev, rise, sale, saudi, secur, share, shr, sourc, soviet, state, stg, stock, system, tax, tender, today, tonn, total, trade, unit, week, west, wheat, will, year, yen","0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0","agreement, bank, billion, compani, corp, ct, day, depart, dlr, exchang, export, govern, group, includ, increas, industri, interest, loss, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, plan, price, product, purchas, report, reserv, sale, share, state, stock, system, today, tonn, total, trade, unit, week, will, year"
"acquir, acquisit, acr, agre, agreement, agricultur, american, analyst, announc, approv, april, area, asset, attack, averag, avg, baker, bank, barrel, bid, bill, billion, board, bond, bpd, bundesbank, busi, buy, canadian, cash, central, chang, china, close, committe, commod, common, compani, compar, contract, corn, corp, cost, countri, credit, crop, crude, ct, currenc, cut, day, dealer, declin, demand, depart, develop, dlr, dollar, domest, earn, ec, econom, ecuador, energi, estim, european, exchang, explor, export, fall, farm, farmer, februari, feder, field, financ, financi, firm, forecast, foreign, franc, fund, futur, ga, gain, govern, grain, group, growth, gulf, hold, hous, import, includ, increas, industri, interest, intern, intervent, invest, iran, iranian, issu, japan, japanes, level, loan, loss, maiz, major, manag, mark, market, meet, merger, minist, mln, monetari, money, month, nation, net, nil, note, offer, offici, oil, opec, oper, output, pari, pay, payment, pct, petroleum, pipelin, plan, plant, polici, presid, price, produc, product, profit, program, propos, purchas, quarter, rais, rate, record, report, reserv, reuter, rev, rice, rise, sale, saudi, secur, sell, share, sharehold, ship, shr, sourc, soviet, soybean, spokesman, stabil, state, statement, stg, stock, subsidiari, suppli, support, system, tax, tender, term, texa, time, today, told, tonn, total, trade, trader, union, unit, usda, week, well, west, wheat, will, year, yen, yesterday","1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0","acquir, agreement, announc, approv, april, bank, billion, board, buy, close, compani, compar, corp, ct, day, depart, dlr, exchang, export, govern, group, includ, increas, industri, interest, intern, loss, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, plan, price, product, purchas, rais, record, report, reserv, sale, sell, share, spokesman, state, stock, system, term, today, told, tonn, total, trade, unit, week, will, year"
"accord, account, acquir, acquisit, acr, action, addit, administr, agenc, ago, agre, agreement, agricultur, american, amount, analyst, announc, approv, april, arabia, area, ask, asset, assist, associ, attack, averag, avg, baker, band, bank, barrel, bid, bill, billion, board, bond, bought, bpd, budget, bundesbank, bushel, busi, buy, call, canada, canadian, capit, cash, central, certif, chairman, chang, china, close, comment, commiss, committe, commod, common, compani, compar, complet, condit, consid, contract, control, cooper, corn, corp, cost, countri, credit, crop, crude, ct, currenc, current, cut, damag, day, dealer, debt, decemb, declin, deficit, demand, depart, develop, discuss, div, dividend, dlr, dollar, domest, drill, drop, earli, earn, ec, econom, economi, economist, ecuador, effect, end, energi, england, estim, european, exchang, explor, export, fall, farm, farmer, februari, fed, feder, fell, field, figur, financ, financi, firm, fiscal, forecast, foreign, franc, french, fund, futur, ga, gain, german, germani, govern, grain, group, growth, gulf, harvest, help, high, higher, hold, hous, import, includ, incom, increas, industri, interest, intern, intervent, invest, investor, iran, iranian, issu, januari, japan, japanes, level, liquid, loan, loss, lower, maiz, major, manag, mark, market, measur, meet, member, merger, minist, ministri, mln, monetari, money, month, move, mth, nation, net, nil, note, offer, offici, oil, opec, open, oper, output, outstand, own, pari, pay, payment, pct, period, petroleum, pipelin, plan, plant, point, polici, post, presid, previou, price, prior, privat, produc, product, profit, program, propos, provid, purchas, quarter, rais, rang, rate, reagan, receiv, record, reduc, refineri, report, requir, reserv, reuter, rev, revenu, rice, rise, rose, sale, saudi, season, secretari, secur, sell, servic, set, share, sharehold, ship, shipment, shr, sign, sold, sourc, south, soviet, soybean, spokesman, stabil, stake, start, state, statement, stg, stock, subsidiari, suppli, support, system, taiwan, talk, target, tax, tender, term, texa, time, today, told, tonn, total, trade, trader, transact, treasuri, uk, union, unit, usda, week, well, west, wheat, will, winter, year, yen, yesterday","0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1","acquir, addit, agreement, amount, announc, approv, april, bank, billion, board, buy, close, compani, compar, complet, corp, ct, current, day, depart, dlr, exchang, export, govern, group, includ, increas, industri, interest, intern, loss, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, period, plan, price, product, purchas, rais, record, reduc, report, reserv, sale, sell, share, spokesman, state, stock, system, term, today, told, tonn, total, trade, unit, week, will, year, yesterday"
"accept, accord, account, acquir, acquisit, acr, acreag, action, addit, adjust, administr, agenc, ago, agre, agreement, agricultur, aid, allow, american, amount, analyst, announc, approv, april, arabia, area, ask, asset, assist, associ, attack, author, averag, avg, baker, balanc, band, bank, banker, barley, barrel, base, bid, bill, billion, block, board, bond, bought, bpd, brazil, bring, british, budget, bundesbank, bushel, busi, buy, call, canada, canadian, capit, cash, cent, central, certif, chairman, chang, china, close, comment, commiss, commit, committe, commod, common, commun, compani, compar, competit, complet, condit, confer, consid, contract, control, cooper, corn, corp, cost, countri, court, cover, credit, crop, crude, ct, currenc, current, custom, cut, daili, damag, data, day, deal, dealer, debt, decemb, declin, deficit, deliveri, demand, depart, develop, director, discount, discuss, div, dividend, dlr, dollar, domest, drill, drop, earli, earn, ec, econom, economi, economist, ecuador, effect, end, energi, england, estim, european, exchang, exclud, explor, export, fall, farm, farmer, februari, fed, feder, feed, fell, field, figur, file, financ, financi, firm, fiscal, food, forc, forecast, foreign, franc, french, friday, fund, futur, ga, gain, gener, german, germani, good, govern, grain, group, growth, guilder, gulf, half, harvest, heavi, held, help, high, higher, hold, hous, import, includ, incom, increas, industri, interest, intern, interven, intervent, invest, investor, iran, iranian, issu, januari, japan, japanes, juli, june, kuwait, late, lawson, level, limit, liquid, loan, long, loss, low, lower, lyng, main, maiz, major, manag, mark, market, measur, meet, member, merger, mine, minist, ministri, mln, monday, monetari, money, month, morn, move, mth, nation, natur, net, news, nil, north, note, number, offer, offic, offici, offshor, oil, opec, open, oper, option, output, outstand, own, pacif, pari, pay, payment, pct, period, petroleum, pipelin, plan, plant, platform, plc, point, polici, posit, post, presid, previou, price, prior, privat, problem, produc, product, profit, program, project, properti, propos, provid, provis, public, purchas, quarter, quot, quota, rain, rais, rang, rate, reach, reagan, receiv, record, reduc, refin, refineri, reflect, remain, report, repres, repurchas, requir, reserv, respons, reuter, rev, revenu, revis, rice, rise, rose, rule, sale, saudi, save, season, second, secretari, secur, seek, sell, septemb, servic, set, share, sharehold, ship, shipment, shortag, shr, sign, sold, sourc, south, soviet, soybean, special, specul, spokesman, stabil, stake, start, state, statement, sterl, stg, stock, studi, subject, subsidi, subsidiari, sugar, suppli, support, system, taiwan, talk, target, tax, tender, term, texa, time, today, told, tonn, total, trade, trader, transact, treasuri, uk, union, unit, usda, washington, weather, week, well, west, western, wheat, will, winter, work, year, yen, yesterday, yield, york","0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0","acquir, addit, agreement, amount, announc, approv, april, bank, billion, board, buy, close, compani, compar, complet, corp, ct, current, day, depart, dlr, exchang, export, govern, group, includ, increas, industri, interest, intern, june, loss, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, period, plan, price, product, provid, purchas, rais, record, reduc, remain, report, reserv, sale, sell, share, spokesman, state, stock, subsidiari, system, term, today, told, tonn, total, trade, unit, week, will, year, yesterday"
"accept, accord, account, acquir, acquisit, acr, acreag, action, addit, adjust, administr, agenc, ago, agre, agreement, agricultur, aid, allow, american, amount, analyst, announc, annual, approv, april, arabia, area, ask, asset, assist, associ, attack, australian, author, averag, avg, baker, balanc, band, bank, banker, barley, barrel, base, basi, bid, bill, billion, block, board, bond, bonu, bought, bpd, brazil, bring, britain, british, budget, bundesbank, bushel, busi, buy, call, canada, canadian, capac, capit, cash, cent, central, certif, chairman, chang, charg, chemic, china, close, comment, commerci, commiss, commit, committe, commod, common, commun, compani, compar, competit, complet, concern, condit, confer, consid, continu, contract, control, cooper, corn, corp, corpor, cost, council, countri, court, cover, credit, crop, crude, ct, cubic, currenc, current, custom, cut, daili, damag, data, day, de, deal, dealer, debt, decemb, decid, decis, declin, deficit, deliveri, demand, depart, depend, deposit, detail, determin, develop, director, disclos, discount, discuss, div, dividend, divis, dlr, dollar, dome, domest, drill, drop, earli, earn, east, ec, econom, economi, economist, ecuador, effect, end, energi, england, enter, estim, european, exchang, exclud, execut, explor, export, express, factor, fall, farm, farmer, februari, fed, feder, feed, feet, fell, field, figur, file, final, financ, financi, firm, fiscal, fix, food, forc, forecast, foreign, fourth, franc, french, friday, full, fund, futur, ga, gain, gener, german, germani, good, govern, grade, grain, group, grow, growth, guarante, guilder, gulf, half, harvest, heavi, hectar, held, help, high, higher, hold, hous, import, improv, includ, incom, increas, indic, indonesia, industri, inflat, initi, institut, insur, interest, intern, interven, intervent, invest, investor, iran, iranian, iraq, issu, januari, japan, japanes, juli, june, kuwait, land, larg, largest, late, lawson, lead, letter, level, light, limit, liquid, load, loan, local, long, loss, louvr, low, lower, lyng, main, maintain, maiz, major, make, manag, manufactur, march, mark, market, measur, meet, member, merger, mine, minist, ministri, miyazawa, mln, monday, monetari, money, month, morn, move, mth, nation, natur, negoti, net, news, nil, north, northern, note, number, offer, offic, offici, offshor, oil, opec, open, oper, option, order, output, outstand, own, pacif, pact, paid, pari, partner, pay, payment, pct, period, petroleum, pipelin, plan, plant, platform, plc, poehl, point, polici, port, posit, post, prefer, presid, pressur, prev, previou, price, prior, privat, problem, produc, product, profit, program, project, properti, propos, protect, provid, provis, public, purchas, qtli, qtr, quarter, quot, quota, rain, rais, rang, rate, reach, reagan, receiv, record, reduc, refin, refineri, reflect, region, releas, remain, report, repres, repurchas, request, requir, reserv, resourc, respons, reuter, rev, revenu, revis, rice, rig, right, rise, rose, rule, sale, saudi, save, sea, season, second, secretari, secur, seek, sell, senat, senior, septemb, servic, set, share, sharehold, shearson, ship, shipment, shortag, shr, sign, sold, sorghum, sourc, south, soviet, soybean, special, specul, spokesman, stabil, stake, standard, start, state, statement, sterl, stg, stock, strong, studi, subject, subsidi, subsidiari, sugar, suppli, support, surplu, system, taiwan, talk, tanker, target, tax, technolog, tender, term, texa, texaco, time, today, tokyo, told, tonn, total, trade, trader, transact, treasuri, uk, unchang, union, unit, usair, usda, valu, venezuela, vote, war, washington, water, weather, week, well, west, western, wheat, will, winter, work, worth, year, yen, yesterday, yield, york","0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0","acquir, addit, agreement, amount, announc, approv, april, bank, billion, board, buy, close, compani, compar, complet, continu, corp, ct, current, day, depart, dlr, exchang, export, govern, group, includ, increas, industri, interest, intern, june, loss, march, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, period, plan, price, product, provid, purchas, rais, record, reduc, report, reserv, sale, sell, share, spokesman, state, stock, subsidiari, system, term, today, told, tonn, total, trade, unit, week, will, year, yesterday"
"agreement, analyst, april, bank, barrel, billion, compani, corp, ct, currenc, dealer, dlr, dollar, exchang, expect, export, govern, import, industri, interest, japan, loss, march, market, mln, month, net, offer, offici, oil, oper, pct, price, product, profit, rate, report, reserv, rev, sale, share, stock, today, tonn, total, trade, unit, week, will, year","1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","agreement, april, bank, billion, compani, corp, ct, dlr, exchang, expect, export, govern, industri, interest, loss, march, market, mln, month, net, offer, offici, oil, oper, pct, price, product, report, reserv, sale, share, stock, today, tonn, total, trade, unit, week, will, year"
"acquisit, agreement, american, analyst, april, bank, barrel, bill, billion, central, compani, corn, corp, countri, ct, currenc, current, cut, day, dealer, depart, dlr, dollar, energi, estim, exchang, expect, export, foreign, futur, ga, govern, group, gulf, import, includ, increas, industri, interest, japan, japanes, level, loan, loss, march, mark, market, meet, minist, mln, month, nation, net, nil, note, offer, offici, oil, oper, pct, plan, polici, price, produc, product, profit, program, propos, purchas, quarter, rate, report, reserv, reuter, rev, rise, sale, saudi, secur, share, sourc, soviet, spokesman, state, stg, stock, system, tax, tender, three, today, told, total, trade, unit, week, west, will, year, yen","0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0","agreement, april, bank, billion, compani, corp, ct, current, day, depart, dlr, exchang, expect, export, govern, group, includ, increas, industri, interest, loss, march, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, plan, price, product, purchas, report, reserv, sale, share, spokesman, state, stock, system, three, today, told, total, trade, unit, week, will, year"
"acquir, acquisit, acr, agre, agreement, agricultur, american, analyst, announc, approv, april, area, asset, attack, averag, avg, baker, bank, barrel, bid, bill, billion, board, bond, bpd, bundesbank, busi, buy, canadian, cash, central, chang, china, close, committe, commod, common, compani, compar, continu, contract, corn, corp, cost, countri, credit, crude, ct, currenc, current, cut, day, dealer, declin, demand, depart, develop, dlr, dollar, domest, earlier, earn, ec, econom, ecuador, energi, estim, european, exchang, expect, explor, export, fall, farmer, februari, feder, field, financ, financi, firm, forecast, foreign, franc, fund, futur, ga, gain, govern, group, growth, gulf, hold, hous, import, includ, increas, industri, interest, intern, intervent, invest, iran, issu, januari, japan, japanes, june, level, loan, loss, maiz, major, manag, march, mark, market, meet, merger, minist, mln, monetari, money, month, nation, net, nil, note, offer, offici, oil, oper, output, pari, pay, payment, pct, period, petroleum, pipelin, plan, plant, polici, presid, price, produc, product, profit, program, propos, purchas, quarter, rais, rate, record, report, reserv, reuter, rev, rise, rose, sale, saudi, secur, sell, share, sharehold, ship, sourc, soviet, spokesman, stabil, state, statement, stg, stock, subsidiari, suppli, support, system, tax, tender, term, texa, three, time, today, told, tonn, total, trade, trader, union, unit, week, well, west, will, year, yen, yesterday","1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0","acquir, agreement, announc, approv, april, bank, billion, board, buy, close, compani, compar, continu, corp, ct, current, day, depart, dlr, earlier, exchang, expect, export, govern, group, includ, increas, industri, interest, intern, june, loss, march, market, meet, mln, month, nation, net, offer, offici, oil, oper, pct, period, plan, price, product, purchas, rais, record, report, reserv, sale, sell, share, spokesman, state, stock, subsidiari, system, term, three, today, told, tonn, total, trade, unit, week, will, year"
